"","results"
"114","Here are the extracted details:

1. **Kampong**: Jerudong
2. **Price**: $328,000.00
3. **Type**:
	* Apartment: No
	* Bungalow: No
	* Detached: No
	* Semi-detached: Yes
4. **Storey**: Double storey
5. **Status**: New (last unit completed)
6. **Land_size**: 0.114 acres (b)
7. **Floor_size**: 2825 sq ft
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Last unit completed
	* Remaining details not explicitly mentioned"
"115","Here are the extracted details:

1. **Kampong**: Telanai
2. **Price**: $270,000.00
3. **Type**: 
	* House (not specified as apartment, bungalow, detached, or semi-detached)
4. **Storey**: Three storey
5. **Status**: Used
6. **Land_size**: 0.047 acre
7. **Floor_size**: 3,140 sq ft
8. **Beds**: 5 bedrooms
9. **Baths**: 5 bathrooms
10. **Land_type**: Kekal
11. **Additional Remark**: None specific (assuming the details in the caption are already included)"
"116","Here are the extracted details:

* **Kampong:** SG Tilong
* **Price:** $1000 per month (rent)
* **Type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: No, but ""new terrace house"" is mentioned
* **Storey:** Single storey not mentioned, but it's a ""terrace house"", which typically has multiple levels (but no specific number of storeys mentioned)
* **Status:** New
* **Land_size:** Not explicitly mentioned
* **Floor_size:** Not explicitly mentioned
* **Beds:** 4 rooms (assuming bedrooms)
* **Baths:** 4 toilets (assuming bathrooms)
* **Land_type:** Leasehold
* **Additional Remark:**
	+ Can fit 4 cars
	+ Has aircond, curtain heaters"
"117","Here are the extracted details:

* **kampong:** Subok
* **price:** $185,000.00
* **type:**
	+ Apartment: Not mentioned
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Not mentioned
	+ Terrace house: Yes, double storey
* **storey:** Double storey
* **status:** Under construction
* **land_size:**
	+ 0.068 acres (not clear if this is the total land size or just a portion)
	+ 0.11 acres (it seems there are two different land sizes mentioned, but the correct one is not clear)
* **floor_size:** 1,884 sq ft
* **beds:** 4 bedrooms
* **baths:** 4 bathrooms
* **land_type:** Kekal B
* **Additional Remark:**
	+ Remaining details (not clear what this refers to):
		- No specific additional remarks mentioned"
"118","Here are the extracted details:

1. **Kampong**: Tanah Jambu
2. **Price**: BND $181,000 - BND $244,000 (approximate price range)
3. **Type**:
	* Apartment: None mentioned
	* Bungalow: None mentioned
	* Detached: None mentioned
	* Semi-detached: None mentioned
	* Terrace House: Double storey
4. **Storey**: Double storey
5. **Status**: Proposed
6. **Land Size**: 0.045 acres - 0.093 acres (approximate range)
7. **Floor Size**: 2,000 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land Type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Remaining details not explicitly stated.
12. **Caption**: 'Double storey terrace house at Tanah Jambu'"
"119","Here are the extracted details:

1. **Kampong**:
	* Kulapis (village in Brunei)
2. **Price**:
	* Estimate: B$188,000 - B$178,000
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Yes (semi-detached)
	* Detached: No
	* Semi-detached: Yes
4. **Storey**:
	* Single storey
5. **Status**:
	* Under-construction, expected to complete by Feb 2022
6. **Land_size**:
	* 0.104ac - 0.087ac (approximate size)
7. **Floor_size**:
	* 2,110 sq ft - 2,273 sq ft
8. **Beds**:
	* Not mentioned (but said to have 3 rooms)
9. **Baths**:
	* 2 toilets
10. **Land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* Under construction, expected to complete by Feb 2022"
"120","Here are the extracted details:

1. **Kampong**: Not explicitly mentioned, but assuming ""Katok"" refers to Kampong Katok in Brunei.
2. **Price**: $700/month
3. **Type**:
	* Apartment: Yes (one room apartment)
	* Bungalow: No
	* Detached: No
	* Semi-detached: No
4. **Storey**: 2nd floor (double storey)
5. **Status**: Not explicitly mentioned, but assuming ""for rent"" implies it's currently available for occupation.
6. **Land Size**: Not mentioned
7. **Floor Size**: Not mentioned
8. **Beds**: 1 bedroom
9. **Baths**: Not mentioned
10. **Land Type**: Not mentioned
11. **Additional Remark**:
	* Fully furnished
12. **Caption**: ""Katok one room apartment for rent 2nd floor fully furnished $700 mnth"""
"121","Here are the extracted details:

1. **Kampong (Village in Brunei):** Madang
2. **Price:** 
	* Original price: $318,000
	* Offered price: $308,000
3. **Type:**
	* Detached house
4. **Storey:** Double storey
5. **Status:** Proposed
6. **Land Size:** 2,509.05 sqft (not specified as a land size in the typical sense, but rather a floor area)
7. **Floor Size:** Not explicitly mentioned, but implied to be around 2,509.05 sqft
8. **Beds:** 4 rooms (assuming bedrooms)
9. **Baths:** 3 toilets (assuming bathrooms)
10. **Land Type:** Kekal (a type of land ownership in Brunei)
11. **Additional Remark:** The remaining details are not explicitly specified, but it can be inferred that the house is a double storey detached house with 4 rooms and 3 toilets."
"122","Here are the extracted details:

1. **kampong**:
	* Bengkurong (village in Brunei)
2. **price**:
	* $298,000
3. **type**:
	* Detached Bungalow House
4. **storey**:
	* Single storey
5. **status**:
	* Proposed
6. **land_size**:
	* 0.167 acres (approximately)
7. **floor_size**:
	* Approximately 2,500 sq ft
8. **beds**:
	* 4 rooms (assuming bedrooms)
9. **baths**:
	* 4 toilets (assuming bathrooms)
10. **land_type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available, 2 car park spaces, approximately 2500 sq ft floor size"
"123","Here are the extracted details:

* **Kampong**: Jangsak (village in Brunei)
* **Price**: Not explicitly mentioned, but ""$500mnth"" is likely a monthly rental price
* **Type**:
	+ Apartment: Studio apartment
	+ Details: Fully furnished
* **Storey**: Single storey
* **Status**: Not explicitly mentioned, but it's available for rent (implying existing or in operation)
* **Land_size**: Not explicitly mentioned
* **Floor_size**: Not explicitly mentioned
* **Beds**: 1 bedroom
* **Baths**: Not explicitly mentioned
* **Land_type**: Not explicitly mentioned
* **Additional Remark**:
	+ With lift (elevator)
	+ Fully furnished
	+ 1 car park available, but not covered"
"124","Here are the extracted details:

1. **Kampong**: Selayun
2. **Price**: BND $390,000.00 (approximately USD $287,000)
3. **Type**: Detached house (double storey)
4. **Storey**: Double storey
5. **Status**: Ready to move in (new)
6. **Land_size**: 0.194 acres (kekal)
7. **Floor_size**: 2,397 sq ft
8. **Beds**: Not explicitly mentioned, but ""5 rooms"" is specified (assuming bedrooms)
9. **Baths**: 4 toilets are mentioned
10. **Land_type**: Kekal
11. **Additional Remark**: No additional remark was provided in the original text"
"125","Here are the extracted details:

**- kampong:** Junjungan (village in Brunei)

**- price:** $177,000.00

**- type:**

* Apartment: No
* Bungalow: Yes
* Detached: Yes
* Semi-detached: No

**- storey:** Single storey

**- status:** Ready to move-in (new or existing)

**- land_size:** Not specified

**- floor_size:** Not specified, but has 4 rooms and 2 toilets

**- beds:** 4 bedrooms

**- baths:** 2 bathrooms

**- land_type:** Leasehold

**- Additional Remark:**

* Ready to move-in
* 1 unit available
* Just renew B (lease)"
"126","Here are the extracted details:

1. **Kampong**: Selayun
2. **Price**: $290,000.00
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **Storey**: Double storey
5. **Status**: Ready to move in (not explicitly stated as new, proposed, or under-construction)
6. **Land_size**: 0.108 acres (approximately 4350 sq ft)
7. **Floor_size**: 2,800 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 4 toilets (assuming bathrooms)
10. **Land_type**: Kekal
11. **Additional Remark**:
	* Ready to move in
	* 4 rooms
	* 4 toilets"
"127","Here are the extracted details:

1. **kampong**:
	* Kampong: K.G. Kulapis
2. **price**: $135,000.00
3. **type**:
	* Apartment: No (there is no mention of an apartment)
	* Bungalow: Yes
	* Detached: No (it's a semi-detached or attached bungalow)
	* Semi-detached: Yes
4. **storey**: Single storey
5. **status**: No (it seems to be an existing property, not proposed or under-construction)
6. **land_size**: 0.05 acres
7. **floor_size**: 1,200 sqft
8. **beds**: 3 rooms (implying 2-3 bedrooms, but it's unclear if there are separate living areas or a study area)
9. **baths**: 2 toilets (implying 2 bathrooms, but it's unclear if there are separate shower and bathtub facilities)
10. **land_type**: Kekal
11. **Additional Remark**:
	* Located at Kg. Kulapis
	* Submission: No details mentioned
	* Approximate land size: 0.05 acres
	* Price: $135,000.00"
"128","Here are the extracted details:

1. **Kampong**:
	* Sg Hanching (village in Brunei)
2. **Price**:
	* $369,000.00
3. **Type**:
	* Detached house
4. **Storey**:
	* Double storey
5. **Status**:
	* Nearly completed (under-construction)
6. **Land size**:
	* 0.1201 acres
7. **Floor size**:
	* 2,865 sq ft
8. **Beds**:
	* 4 rooms
9. **Baths**:
	* 4 toilets
10. **Land type**:
	* Kekal (in perpetuity)
11. **Additional Remark**:
	* The house is nearly completed, which implies it's nearing completion but not yet fully finished.
12. **Floor size per storey**: Not explicitly mentioned, but can be inferred as 2,865 sq ft / 2 storeys = 1,432.5 sq ft per storey"
"129","Here are the extracted details:

* **kampong**: Kiarong
* **price**: $395,000.00
* **type**:
	+ Apartment: Not mentioned (but it's a semi-detached unit)
	+ Bungalow: Not mentioned
	+ Detached: Not mentioned
	+ Semi-detached: Yes
* **storey**: 3 storeys (Note: ""stry"" is used, which seems to be a typo for ""story"")
* **status**: For Sale (not explicitly stated, but implied)
* **land_size**: 0.109 acres
* **floor_size**: 3896 sqft
* **beds**: Not mentioned (but it has 7 rooms, implying some kind of sleeping quarters)
* **baths**: 6 toilets
* **land_type**: Kekal
* **Additional Remark**:
	+ Location: Left unit in Kiarong
	+ Number of units: Left unit is one out of three (not explicitly stated)"
"130","Here are the extracted details:

1. **kampong**: Jerudong
2. **price**:
	* Original price: $420,000.00
	* Negotiable
3. **type**:
	* Apartment: Not mentioned
	* Bungalow: Not mentioned
	* Detached: Yes
	* Semi-detached: Not mentioned
4. **storey**: Double storey
5. **status**: Proposed or Under-construction (not explicitly stated, but implied)
6. **land_size**:
	* 0.128 acre
	* 0.137 acre (two different values given)
7. **floor_size**: 
	* 2615 sq ft
	* 2963 sq ft (two different values given)
8. **beds**: 5 bedrooms
9. **baths**: 5 toilets (not explicitly stated as bathrooms, but implied)
10. **land_type**: Leasehold (not explicitly stated, but B is often used to denote leasehold in Brunei)
11. **Additional Remark**: None mentioned (although ""negotiable"" implies some flexibility in the price)"
"131","Here are the extracted details:

1. **Kampong**: Tg Bunut Kekal
2. **Price**:
	* Original price: $258,000
	* Now offered at: $248,000
3. **Type**: Detached house
4. **Storey**: Double storey
5. **Status**: Ready to build (not new, proposed, or under-construction)
6. **Land size**: 0.10 acres
7. **Floor size**: 1900 sf (square feet)
8. **Beds**: 4 rooms
9. **Baths**: 3 toilets
10. **Land type**: Kekal
11. **Additional Remark**: Ready to build, now offered at a lower price of $248,000"
"132","Here are the extracted details:

* **Kampong:** Kiarong
* **Price:** $235,000 (also mentioned as ""offer for 1 unit only"")
* **Type:**
	+ Apartment: No mention
	+ Bungalow: No mention
	+ Detached: Mentioned as a ""three storey semi detached house""
	+ Semi-detached: Yes
* **Storey:** Three storeys
* **Status:** Ready to move in (presumably not new, proposed, or under-construction)
* **Land size:** Not mentioned
* **Floor size:** 2188 sq ft
* **Beds:** 4 rooms (interpreted as bedrooms)
* **Baths:** 5 toilets (interpreted as bathrooms)
* **Land type:** Kekal
* **Additional Remark:**
	+ Ready to move in
	+ For sale only for one unit"
"133","Here are the extracted details:

* **Kampong**: Bubatik
* **Price**:
	+ Original price: $235,000
	+ Current offer price: $228,000
* **Type**: Semi-detached house
* **Storey**: Double storey
* **Status**: Under construction
* **Land_size**: 
	+ Land size in sq ft: 2,500 sq ft
	+ Land size in acres: 0.07 ac (approx.)
* **Floor_size**: Not mentioned explicitly, but implied to be the same as land size (2,500 sq ft)
* **Beds**: 4 rooms (assuming bedrooms)
* **Baths**: 4 toilets (assuming bathrooms)
* **Land_type**: Kekal
* **Additional Remark**:
	+ Location: Bebatik
	+ Plot No.: 3
* **Caption**: Double storey semi detached house at Bebatik"
"134","Here are the extracted details:

**1. kampong**
* Jerudong (village in Brunei)

**2. price**
* $139,000.00

**3. type**
* Bungalow (terrace bungalow house)

**4. storey**
* Single storey (implied by 1000 sq ft floor size and 3 rooms)

**5. status**
* Under-construction (as mentioned in the caption)

**6. land_size**
* 0.036 acres

**7. floor_size**
* 1000 sq ft

**8. beds**
* 3 bedrooms

**9. baths**
* 2 toilets

**10. land_type**
* Kekal (leasehold or perpetual ownership)

**11. Additional Remark**
* Last unit, estimated complete by October 2022"
"135","Here are the extracted details:

1. **Kampong**: Serasa
2. **Price**: $120,000.00 (BND)
3. **Type**:
	* Apartment: Not mentioned
	* Bungalow: Yes
	* Detached: Not mentioned
	* Semi-detached: Not mentioned
4. **Storey**: Single storey
5. **Status**: Under-construction
6. **Land_size**: Not explicitly mentioned (but implied to be relatively small)
7. **Floor_size**: 4 rooms (no explicit floor size mentioned)
8. **Beds**: 4 bedrooms
9. **Baths**: 2 toilets (no explicit bathrooms mentioned, but implies 1 bathroom + 1 guest or utility toilet)
10. **Land_type**: Kekal (in perpetuity)
11. **Additional Remark**:
	* Last unit available
	* Middle unit B"
"136","Here are the extracted details:

1. **Kampong**: Kasat
2. **Price**: $130,000.00
3. **Type**:
	* Apartment: No mention
	* Bungalow: Yes (semi-detached)
	* Detached: No mention
	* Semi-Detached: Yes
4. **Storey**: Not specified (single or double storey not mentioned)
5. **Status**: Under-construction
6. **Land_size**: 0.0758ac - 0.0790ac
7. **Floor_size**: 1,215.23 sq ft
8. **Beds**: 4 rooms (assuming bedrooms)
9. **Baths**: 2 toilets (assuming bathrooms)
10. **Land_type**: Kekal (leasehold not mentioned)"
"137","Here are the extracted details:

**1. kampong:**
The kampong (village) mentioned is: Tg Nangka

**2. price:**
The price range is:
- B$250,000.00
- B$258,000.00

**3. type:**
The types of properties are:
- Detached house
- Apartment, bungalow, and detached are not mentioned as specific types; however, semi-detached is also not mentioned but one can imply that it is a detached house.

**4. storey:**
It is a Double Storey property

**5. status:**
The status of the property is:
- Proposed 

**6. land_size:**
The land size is:
- 0.151ac (approximate)
- 0.146ac (approximate)

**7. floor_size:**
The floor size is:
- 2,487 sq ft

**8. beds:**
The number of bedrooms is:
- 4 rooms 

**9. baths:**
The number of bathrooms is:
- 5 toilets 

**10. land_type:**
The type of land ownership is:
- Kekal (meaning perpetual or in perpetuity)"
